id,YEAR,Montant achat,zip,Type
4931,2013,5134.71,1000,H30
4947,2013,2468.84,1000,H29
4951,2013,169.46,1000,H29
4985,2013,190.9,1000,H29
5036,2013,128.08,1000,H29
5039,2013,298.4,1000,H30
5080,2013,3193.62,1000,H29
5185,2013,120.8,1000,H29
5224,2013,13693.81,1000,H30
5229,2013,4767.87,1000,H30
5232,2013,6868.23,1000,H33
5255,2013,3197.75,1000,H30
5263,2013,2002.98,1000,H30
5321,2013,214.99,1000,H29
5365,2013,5757.52,1000,H30
5393,2013,87.96,1000,H29
5416,2013,1513.3,1000,H30
5447,2013,4792.3,1000,H30
5492,2013,1385.6,1000,H29
5505,2013,174.25,1000,H29
5509,2013,1301.41,1000,H30
5528,2013,1004.9,1000,H32
5543,2013,4370.13,1000,H30
5570,2013,1060.07,1000,H29
5581,2013,200.06,1000,H30
5590,2013,323.86,1000,H30
5597,2013,4581.67,1000,H30
5607,2013,178.16,1000,H29
5654,2013,3459.27,1000,H30
5671,2013,8004.94,1000,H30
5743,2013,2158.13,1000,H29
5746,2013,4139.3,1000,H30
5748,2013,3085.01,1000,H30
5752,2013,1073.55,1000,H30
13,2013,637.13,1020,H32
180,2013,3051.48,1020,H33
181,2012,435.14,1020,H29
182,2012,441.31,1020,H32
183,2012,1418.03,1020,G28
184,2012,750.24,1020,G25
185,2012,1529.67,1020,H29
186,2012,602.68,1020,G28
187,2012,1417.29,1020,G28
188,2012,1222.57,1020,H32
189,2012,217.09,1020,H32
190,2012,537.29,1020,G28
191,2012,1644.96,1020,G28
192,2012,7168.93,1020,H33
193,2012,116.69,1020,G28
194,2012,2210.94,1020,G25
195,2012,706.27,1020,H32
196,2012,6193.31,1020,G28
197,2012,6346.85,1020,G28
198,2012,2403.44,1020,G28
199,2012,2289.94,1020,G25
200,2012,87.13,1020,G28
201,2012,316.7,1020,G25
202,2012,13.14,1020,H32
203,2012,452.01,1020,H33
204,2012,691.82,1020,H32
205,2012,3860.78,1020,H29
206,2012,6348.92,1020,H33
207,2012,1396.79,1020,G26
208,2012,659.62,1020,G26
209,2012,8034.36,1020,A03
211,2012,1394.89,1020,H32
212,2012,351.92,1020,H32
213,2012,521.59,1020,G26
214,2012,3724.72,1020,H33
215,2012,660.38,1020,G28
216,2012,1139.66,1020,H32
